Date,Temperature (C)
1967-01-16,-0.97974783,1.2723788
1967-02-16,3.7410927,1.1560763
1967-03-15,3.9295566,1.1668521
1967-04-15,9.931333,1.4327364
1967-05-15,15.852363,1.3911209
1967-06-15,20.407661,1.2353138
1967-07-15,25.22535,0.8081313
1967-08-15,24.965555,0.9426254
1967-09-15,20.06209,1.3146764
1967-10-15,12.363487,1.0154667
1967-11-15,4.329274,0.94132
1967-12-15,0.8658926,1.4101849
1968-01-16,-8.970896,1.3636452
1968-02-16,-0.57196695,1.1115141
1968-03-15,4.226772,1.0454094
1968-04-15,10.512241,1.1130514
1968-05-15,17.347692,1.1178799
1968-06-15,22.177595,0.8115276
1968-07-15,23.21615,1.0073276
1968-08-15,25.072002,0.72780025
1968-09-15,20.517393,0.9120419
1968-10-15,13.841419,1.0921179
1968-11-15,4.2593184,1.2076402
1968-12-15,-4.5725274,1.9417257
1969-01-16,-2.0155256,1.6400865
1969-02-16,3.2491364,1.3168943
1969-03-15,6.2199125,1.4989215
1969-04-15,14.383509,1.4506884
1969-05-15,17.672873,0.8817784
1969-06-15,21.054173,0.9837524
1969-07-15,25.227192,0.74752647
1969-08-15,24.329393,0.6981358
1969-09-15,21.554775,0.6049502
1969-10-15,16.480606,1.2737412
1969-11-15,9.3634615,1.496668
1969-12-15,3.5405376,0.9301144
1970-01-16,-0.84824383,1.1628065
1970-02-16,-0.17496423,1.5919625
1970-03-15,7.2922835,1.5844085
1970-04-15,13.74876,1.2805898
1970-05-15,19.486917,1.044708
1970-06-15,22.774849,0.89955235
1970-07-15,25.770699,0.62282157
1970-08-15,23.29451,0.71881735
1970-09-15,20.846912,0.80017716
1970-10-15,14.506898,0.96712875
1970-11-15,6.398153,1.1992601
1970-12-15,3.3882983,1.2047974
1971-01-16,-1.3007696,1.3489285
1971-02-16,1.5329198,0.8415649
1971-03-15,6.324747,1.6045841
1971-04-15,12.8389,1.2798187
1971-05-15,16.818047,1.3772012
1971-06-15,25.653921,1.0217675
1971-07-15,28.067108,0.8302061
1971-08-15,27.473612,0.6590676
1971-09-15,20.762177,0.51443034
1971-10-15,13.409487,1.1066071
1971-11-15,5.6414285,1.6233118
1971-12-15,2.3124528,1.0937063
1972-01-16,1.8612036,1.5813483
1972-02-16,2.7172377,1.7729973
1972-03-15,6.1478386,1.1711491
1972-04-15,13.563199,1.5054435
1972-05-15,18.216022,0.83935636
1972-06-15,24.187298,0.81427556
1972-07-15,25.815763,0.79460466
1972-08-15,25.97555,0.8864736
1972-09-15,18.195984,1.1450362
1972-10-15,11.907957,0.9442266
1972-11-15,6.5561237,1.0815893
1972-12-15,1.7232137,0.9740858
1973-01-16,-0.13656685,1.3369775
1973-02-16,2.1397252,1.7854507
1973-03-15,7.212573,1.0025464
1973-04-15,15.938507,1.4425969
1973-05-15,18.77088,0.9629683
1973-06-15,27.173124,1.2449958
1973-07-15,26.94643,1.1029105
1973-08-15,25.764309,1.235184
1973-09-15,21.97066,1.149138
1973-10-15,12.455373,1.1671106
1973-11-15,4.637606,1.0334154
1973-12-15,4.347749,1.2358872
1974-01-16,0.63619626,1.2916694
1974-02-16,6.14554,1.1552761
1974-03-15,9.677584,1.4487103
1974-04-15,13.647084,1.1464831
1974-05-15,19.884716,1.0164185
1974-06-15,24.339523,0.78913814
1974-07-15,26.514448,1.1901277
1974-08-15,23.928001,0.8171075
1974-09-15,19.858946,1.0203495
1974-10-15,14.455011,1.411575
1974-11-15,2.6018806,1.2687619
1974-12-15,-3.7499795,1.2462007
1975-01-16,-4.453476,1.4125758
1975-02-16,2.8460586,0.9870918
1975-03-15,7.3984966,0.87005955
1975-04-15,11.569833,1.2065744
1975-05-15,16.422485,0.946738
1975-06-15,21.584877,0.700514
1975-07-15,25.529299,0.87672406
1975-08-15,24.508347,0.5704748
1975-09-15,17.39491,0.9116756
1975-10-15,12.815162,0.7886992
1975-11-15,6.216495,1.7107995
1975-12-15,-1.6083308,1.6544783
1976-01-16,-2.686571,1.3875446
1976-02-16,0.17349298,1.5131233
1976-03-15,2.517626,1.1004051
1976-04-15,11.085851,1.4621598
1976-05-15,17.266504,1.1647855
1976-06-15,20.95849,0.8001763
1976-07-15,27.488054,0.8453765
1976-08-15,25.994654,0.7112481
1976-09-15,21.483664,0.9647104
1976-10-15,13.883911,1.070146
1976-11-15,7.644535,1.8051343
1976-12-15,-1.4642656,1.5619622
1977-01-16,-4.1626987,1.1701796
1977-02-16,-5.402743,1.1358523
1977-03-15,3.5606077,1.2114792
1977-04-15,12.327211,1.3191729
1977-05-15,20.20171,1.4265269
1977-06-15,23.69548,0.6431348
1977-07-15,26.008408,0.819176
1977-08-15,24.070597,0.9635796
1977-09-15,18.528042,1.1047622
1977-10-15,13.108171,1.0926374
1977-11-15,1.5137378,1.4666227
1977-12-15,-7.774735,2.1538465
1978-01-16,-5.053925,1.2626059
1978-02-16,-3.7540028,1.4913225
1978-03-15,1.4160763,1.7379366
1978-04-15,11.631778,1.3125805
1978-05-15,18.754902,1.2114075
1978-06-15,21.584389,0.9286897
1978-07-15,25.137321,0.80587584
1978-08-15,24.88163,0.60111475
1978-09-15,19.82969,1.3736756
1978-10-15,13.546165,1.486134
1978-11-15,3.234833,1.2431982
1978-12-15,-1.1369926,1.3691646
1979-01-16,-2.9528978,1.4827633
1979-02-16,-1.1541156,1.3007957
1979-03-15,6.394,1.4123005
1979-04-15,12.794381,1.3701589
1979-05-15,18.095236,1.1968757
1979-06-15,22.693645,0.9602456
1979-07-15,25.014513,0.6599729
1979-08-15,23.442179,0.689465
1979-09-15,20.689785,0.9992981
1979-10-15,12.20724,0.924797
1979-11-15,4.899964,1.1052086
1979-12-15,1.3602916,1.4366518
